Feature,Coefficient,Intercept,R^2
DBQ400,-0.38647089669643214,4.488661161593519,1.2676050182958143e-05
DBD411,-0.5122942884801668,5.089950315380171,0.00021603453140306428
DBQ421,-1.2952158693114522,5.8186039983605005,8.695129717972705e-05
DBQ424,1.1702412868630352,1.3578820267917635,9.268124278938306e-05
HIQ011,-0.2922198243901445,4.378746257455748,0.00039830235905879974
HIQ032A,0.009160955796070638,4.037335374254081,0.0001496815851359523
HIQ260,-0.14510376109910156,4.304059936417315,5.860585148043107e-05
HIQ105,0.17280396028081232,3.8787876301820154,1.2987491264437878e-05
HIQ270,-0.2768838973999978,4.374542691962584,0.0014109778717730226
HIQ210,-0.5334773494243467,5.102300913320983,0.0009981523039804818
INDFMMPI,-0.5164698175806093,5.259466985340323,0.015016324312365992
INDFMMPC,-0.2634086699000784,4.700077029069855,0.004648632818675558
MCQ010,-1.4391287658351464,6.651289141016104,0.013770080115588224
MCQ025,1.0634155431686707e-05,4.0364695955359355,0.00014363014921137118
MCQ035,-0.4001388345637975,4.637817340397377,0.0013737013141472687
MCQ040,-0.5201458627550344,4.870006025000643,0.0007216633082758328
MCQ050,-0.7538833417674609,5.40470246395496,0.00042029398221810066
AGQ030,-0.0666440149684636,4.175324021798717,2.371387728883345e-05
MCQ053,0.11933892325318095,3.8277604836596177,0.0001085169616414916
MCQ080,-1.220201421609526,5.912424972828411,0.013396632215743498
MCQ160A,-0.87964746969639,5.407566459964346,0.0110595666186043
MCQ195,-0.026219829327764486,4.146880002926736,0.00010433885165483936
MCQ160F,-0.3913325233231158,4.805870890399739,0.0010585992175745629
MCD180F,0.00016949930366170463,3.756787919871965,0.01596475030685529
MCQ160M,-0.15883872035827282,4.349242148883255,0.0002454481363567407
MCQ170M,0.4001701727148352,3.494507469908774,0.0017402377714441641
MCD180M,1.2954973824581863e-05,4.029763132610694,0.00020699520252243087
MCQ520,-2.086536697043344,7.647029106945551,0.038158353215030916
MCQ530,-0.3394063419277815,4.745405976771701,0.0006080566289983214
MCQ540,0.008080163089791752,4.0483332462399,1.1698066493259773e-07
MCQ550,0.06437463651837687,3.93803081823047,4.2929390974721926e-05
MCQ560,-1.4123012437781344,6.639868355212312,0.00994973503710228
MCQ570,5.024249768543999e-05,3.9568144148028437,0.0025947196143739637
MCQ220,0.4922027002165412,3.1540025206943314,0.0016249716693546024
MCQ230A,0.0009946995095692164,4.031169655603201,1.0558653610326374e-06
MCQ230B,-0.07310585406495916,6.03935539863802,0.0003019822374731307
MCQ230C,0.0581859403388473,2.397230245955477,2.571267683537659e-05
MCQ366A,-1.2596810397485727,6.10258875238467,0.012562608592682767
MCQ366B,-1.5317716885558301,6.262941407369128,0.020559901787661317
MCQ366C,-1.193716868947659,5.927283593619594,0.012553914539685351
MCQ366D,-1.244582345561069,6.0050241195011695,0.015599773068305622
MCQ371A,-0.3718524945784427,4.551343808923173,0.00109696125900538
MCQ371B,0.15997562784283623,3.8312820882316854,0.00020858112083543823
MCQ371C,-0.3006730024062916,4.467304282387026,0.0007773085490792031
MCQ371D,-0.12570912375346274,4.230486506924821,0.00016183102128253246
OSQ230,-0.04567962662171443,4.135069094287776,4.20103865925725e-05
OCD150,0.5968221176999127,2.344966423043983,0.022642184824762657
OCQ180,-2.4994160580845223e-05,4.062945535156325,9.419815159461553e-05
